ID 50744902,homeowner,Балашиха,sale,flat,17,3,74.8,11899000.0,,бульвар Нестерова,6,Щёлковская,,159077.54010695187
NORDLES,real_estate_agent,Балашиха,sale,flat,25,3,70.6,11900000.0,, Некрасова,11Б,Кучино,Новое Измайлово-2,168555.24079320114
Ольга Бурцева,realtor,Балашиха,sale,flat,3,3,94.0,11900000.0,, Черняховского,20,Салтыковская,,126595.74468085106
Алла Киха,realtor,Балашиха,sale,flat,17,3,80.3,11990000.0,, Кожедуба,4,Щёлковская,,149315.0684931507
ID 11024064,homeowner,Балашиха,sale,flat,10,3,95.5,11950000.0,, Адмирала Горшкова,15,Железнодорожная,,125130.89005235602
ID 15063928,homeowner,Балашиха,sale,flat,25,3,69.0,11900000.0,, Демин луг,2,Новогиреево,Новое Измайлово,172463.76811594202
ID 99368424,homeowner,Балашиха,sale,flat,17,3,80.3,11990000.0,, Кожедуба,4,Щёлковская,,149315.0684931507
Хавар Вейсалова,realtor,Балашиха,sale,flat,16,3,82.4,11900000.0,, Центральная,8,Кучино,,144417.47572815532
ID 66343953,realtor,Балашиха,sale,flat,19,3,95.6,11900000.0,, Троицкая,2,Ольгино,Новое Павлино,124476.98744769875
ID 19240607,homeowner,Балашиха,sale,flat,17,3,65.45,11902486.0,,бульвар Спасский,7,Железнодорожная,Столичный,181856.16501145912
Гранд Сервис Недвижимость,real_estate_agent,Балашиха,sale,flat,25,3,85.0,12000000.0,,,27,Щёлковская,Гагаринский,141176.4705882353
Город,real_estate_agent,Балашиха,sale,flat,12,3,65.2,12000000.0,, Автозаводская,4к1,Железнодорожная,,184049.07975460123
ID 201269,realtor,Балашиха,sale,flat,23,3,98.88,12100000.0,, Строителей,3,Салтыковская,Новое Измайлово,122370.55016181231
Ольга Дядченко,realtor,Балашиха,sale,flat,17,3,75.5,12000000.0,, Летная,2,Щёлковская,,158940.3973509934
ID 48045984,unknown,Балашиха,sale,flat,21,3,68.8,12000000.0,,шоссе Косинское,5/7,Ольгино,Новоград Павлино,174418.6046511628
ID 112692480,homeowner,Балашиха,sale,flat,18,3,79.2,12100000.0,,,10,Щёлковская,Щитниково Изумрудный,152777.77777777778
ID 119344190,homeowner,Балашиха,sale,flat,18,3,70.0,12100000.0,, Маяковского,30,Железнодорожная,,172857.14285714287
ID 119714243,homeowner,Балашиха,sale,flat,17,3,96.4,12000000.0,, Лукино,55а,Щёлковская,20 Парковая,124481.32780082987
ID 110848314,homeowner,Балашиха,sale,flat,18,3,79.9,12000000.0,, Лесопарковая,18,Железнодорожная,,150187.7346683354
ID 87080518,homeowner,Балашиха,sale,flat,22,3,76.2,12000000.0,, Летная,5/5,Щёлковская,,157480.3149606299
Самолет плюс Балашиха,real_estate_agent,Балашиха,sale,flat,16,3,73.8,12199000.0,, Жилгородок,5А,Ольгино,,165298.1029810298
ID 20734874,realtor,Балашиха,sale,flat,16,3,79.0,12200000.0,, Колхозная,11,Железнодорожная,,154430.37974683545
ID 109390548,homeowner,Балашиха,sale,flat,14,3,73.5,12150000.0,, Луговая,9,Железнодорожная,,165306.1224489796
Этажи Москва,real_estate_agent,Балашиха,sale,flat,21,3,101.0,12290000.0,,,29,Щёлковская,Булганинский (Щитниковский лес),121683.16831683168
Марина Тутова,realtor,Балашиха,sale,flat,3,3,101.2,12300000.0,, Черняховского,20,Салтыковская,,121541.50197628458
ID 12541741,homeowner,Балашиха,sale,flat,17,3,81.0,12300000.0,, Лесопарковая,18,Железнодорожная,,151851.85185185185
ID 81827937,homeowner,Балашиха,sale,flat,17,3,70.4,12300000.0,, Рождественская,4,Железнодорожная,,174715.9090909091
ID 115406688,homeowner,Балашиха,sale,flat,15,3,59.8,12300000.0,, Реутовская,11,Реутов,Измайловский лес,205685.618729097
NORDLES,real_estate_agent,Балашиха,sale,flat,25,3,70.6,12400000.0,, Некрасова,11Б,Кучино,Новое Измайлово-2,175637.3937677054
ID 7845060,homeowner,Балашиха,sale,flat,17,3,75.05,12400000.0,, Рождественская,4,Железнодорожная,,165223.1845436376
ID 9782596,homeowner,Балашиха,sale,flat,17,3,72.2,12450000.0,, Шестая,13,Ольгино,Ольгино Парк,172437.6731301939
Этажи Москва,real_estate_agent,Балашиха,sale,flat,17,3,78.1,12600000.0,, Колдунова,10,Щёлковская,,161331.62612035853
ID 341812,realtor,Балашиха,sale,flat,22,3,83.8,12500000.0,, Андрея Белого,1,Железнодорожная,,149164.67780429593
ID 69047784,unknown,Балашиха,sale,flat,7,3,75.7,12500000.0,,Заречная ,39,Щёлковская,,165125.49537648613
ID 107676306,homeowner,Балашиха,sale,flat,17,3,76.4,12550000.0,, Граничная,14,Ольгино,,164267.01570680627
ID 120110304,homeowner,Балашиха,sale,flat,17,3,70.6,12500000.0,, Шестая,17,Ольгино,Ольгино Парк,177053.82436260625
ID 93154795,homeowner,Балашиха,sale,flat,9,3,71.0,12500000.0,,проспект Ленина,53,Салтыковская,,176056.338028169
ID 107805704,homeowner,Балашиха,sale,flat,22,3,79.0,12500000.0,, Летная,5/5,Щёлковская,,158227.84810126582
Этажи Москва,real_estate_agent,Балашиха,sale,flat,26,3,81.7,12650000.0,,Заречная ,17,Салтыковская,Весна,154834.7613219094
ID 114269677,homeowner,Балашиха,sale,flat,25,3,81.7,12650000.0,,Заречная ,17,Салтыковская,Весна,154834.7613219094
Этажи Москва,real_estate_agent,Балашиха,sale,flat,17,3,74.5,12860000.0,,,10,Щёлковская,Щитниково Изумрудный,172617.44966442953
Этажи Москва,real_estate_agent,Балашиха,sale,flat,17,3,76.0,12899999.0,, Кольцевая,8,Щёлковская,Щитниково Янтарный,169736.82894736843
Владис,real_estate_agent,Балашиха,sale,flat,6,3,71.0,12850000.0,мкр. Саввино, Народного ополчения,4,,Столичный,180985.91549295775
ID 47477187,homeowner,Балашиха,sale,flat,22,3,87.0,12750000.0,, Струве,3,Железнодорожная,Центр-2,146551.72413793104
ID 102554575,homeowner,Балашиха,sale,flat,5,3,84.6,12800000.0,, Победы,2,Салтыковская,,151300.2364066194
ID 78577,realtor,Балашиха,sale,flat,7,3,82.0,12999999.0,,Заречная ,37,Щёлковская,,158536.57317073172
Globulex Property,real_estate_agent,Балашиха,sale,flat,7,3,88.1,12950000.0,, Соловьева,1,Кучино,Леоновский парк,146992.05448354143
На Петровке,real_estate_agent,Балашиха,sale,flat,5,3,75.0,12900000.0,,,16,Никольское,,172000.0
ID 27112,real_estate_agent,Балашиха,sale,flat,10,3,83.8,12900000.0,, Адмирала Горшкова,15,Железнодорожная,,153937.9474940334
Елена Шаханова,realtor,Балашиха,sale,flat,24,3,72.8,12900000.0,,бульвар Нестерова,10,Щёлковская,,177197.8021978022
ID 11110489,unknown,Балашиха,sale,flat,27,3,83.6,12990000.0,, Твардовского,44,Кучино,Южная звезда,155382.77511961723
ID 72250485,unknown,Балашиха,sale,flat,17,3,80.0,12900000.0,, Свердлова,50,Щёлковская,,161250.0
ID 47710184,homeowner,Балашиха,sale,flat,14,3,81.8,12950000.0,, Октябрьская,25к1,Железнодорожная,,158312.95843520784
Спутник,real_estate_agent,Балашиха,sale,flat,17,3,98.6,13000000.0,, Лукино,55а,Щёлковская,20 Парковая,131845.84178498987
ID 92694,homeowner,Балашиха,sale,flat,25,3,82.0,13000000.0,, Демин луг,2,Новогиреево,Новое Измайлово,158536.58536585365
ID 121618268,homeowner,Балашиха,sale,flat,17,3,59.0,13000000.0,, Кольцевая,12,Щёлковская,Щитниково Янтарный,220338.98305084746
ID 52843841,unknown,Балашиха,sale,flat,17,3,76.0,13000000.0,мкр. Янтарный, Кольцевая,4/2,,Щитниково Янтарный,171052.63157894736
ID 18515353,homeowner,Балашиха,sale,flat,19,3,68.0,13000000.0,,проспект Ленина,72,Салтыковская,Жемчужина Виктории,191176.4705882353
Виктория Арзамасова,realtor,Балашиха,sale,flat,26,3,90.9,13000000.0,,,29,Щёлковская,Булганинский (Щитниковский лес),143014.301430143
ID 120132953,homeowner,Балашиха,sale,flat,3,3,101.9,13000000.0,, Черняховского,20,Салтыковская,,127576.05495583905
Лига недвижимость,real_estate_agent,Балашиха,sale,flat,19,3,87.5,13250000.0,,проспект Ленина,74,Салтыковская,Жемчужина Виктории,151428.57142857142
Город,real_estate_agent,Балашиха,sale,flat,14,3,108.9,13240000.0,мкр. Железнодорожный, Пионерская,7А,,,121579.43067033976
ID 20697628,homeowner,Балашиха,sale,flat,17,3,74.1,13250000.0,, Кольцевая,8,Щёлковская,Щитниково Янтарный,178812.41565452094
Оксана Ефимова,realtor,Балашиха,sale,flat,25,3,89.4,13400000.0,, Демин луг,4,Реутов,Новое Измайлово,149888.14317673378
Абсолют Капитал Недвижимость,real_estate_agent,Балашиха,sale,flat,25,3,90.0,13400000.0,,бульвар Горенский,3,Салтыковская,Новое Измайлово,148888.88888888888
ID 185102,unknown,Балашиха,sale,flat,17,3,74.6,13500000.0,, Третьяка,3/12,Щёлковская,,180965.14745308313
ID 100685038,unknown,Балашиха,sale,flat,23,3,76.2,13500000.0,, Бояринова,11,Ольгино,Новоград Павлино,177165.35433070865
ID 115429120,homeowner,Балашиха,sale,flat,4,3,114.6,13500000.0,, Черняховского,32В,Салтыковская,,117801.04712041885
ID 626372,unknown,Балашиха,sale,flat,17,3,78.0,13500000.0,, Третьяка,3/12,Щёлковская,,173076.92307692306
ID 105227,realtor,Балашиха,sale,flat,16,3,80.0,13500000.0,, Жилгородок,9А,Ольгино,,168750.0
ID 103460902,homeowner,Балашиха,sale,flat,17,3,82.4,13500000.0,, Смельчак,16,Кучино,Северное Кучино,163834.95145631066
ID 90204927,homeowner,Балашиха,sale,flat,18,3,79.3,13500000.0,,Заречная ,31,Щёлковская,,170239.59646910467
ID 28125368,homeowner,Балашиха,sale,flat,26,3,97.7,13700000.0,,,29,Щёлковская,Булганинский (Щитниковский лес),140225.17911975435
ID 46247023,homeowner,Балашиха,sale,flat,21,3,80.1,13750000.0,,шоссе Косинское,5/7,Ольгино,Новоград Павлино,171660.42446941324
ЛаримарК,real_estate_agent,Балашиха,sale,flat,27,3,97.7,13900000.0,,,29,Щёлковская,Булганинский (Щитниковский лес),142272.26202661206
Самолет Плюс,real_estate_agent,Балашиха,sale,flat,25,3,70.9,13900000.0,, Реутовская,20,Реутов,Измайловский лес,196050.77574047953
КАПИТАЛ,real_estate_agent,Балашиха,sale,flat,5,3,86.6,13900000.0,, Черняховского,32А,Салтыковская,,160508.0831408776
ID 16556054,homeowner,Балашиха,sale,flat,13,3,94.0,13900000.0,,Леоновское шоссе,5,Кучино,,147872.3404255319
ID 121575441,homeowner,Балашиха,sale,flat,15,3,88.0,13900000.0,, Реутовская,14,Реутов,Измайловский лес,157954.54545454544
ID 13097889,realtor,Балашиха,sale,flat,14,3,99.2,13800000.0,,,22,Щёлковская,,139112.90322580645
Владис,real_estate_agent,Балашиха,sale,flat,25,3,82.4,13990000.0,,проспект Ленина,82к2,Салтыковская,Жемчужина Виктории,169781.55339805825
ID 115991097,homeowner,Балашиха,sale,flat,25,3,72.8,13990000.0,, Яганова,11,Щёлковская,Пехра,192170.32967032967
ID 482743,unknown,Балашиха,sale,flat,22,3,71.2,14000000.0,,шоссе Косинское,7,Ольгино,Новоград Павлино,196629.21348314607
ID 114284982,homeowner,Балашиха,sale,flat,25,3,75.8,14000000.0,,проспект Героев,5,Железнодорожная,,184696.56992084434
ID 90422945,homeowner,Балашиха,sale,flat,21,3,61.8,14000000.0,, Бояринова,19,Ольгино,Новоград Павлино,226537.21682847897
ID 21532293,homeowner,Балашиха,sale,flat,17,3,93.6,14000000.0,, Троицкая,3,Ольгино,Новое Павлино,149572.6495726496
ID 106201584,homeowner,Балашиха,sale,flat,16,3,74.0,14000000.0,, Граничная,18,Ольгино,,189189.1891891892
ID 84407711,homeowner,Балашиха,sale,flat,17,3,76.0,14200000.0,, Жилгородок,2,Новокосино,,186842.1052631579
ID 121706194,homeowner,Балашиха,sale,flat,25,3,83.6,14250000.0,, Твардовского,44,Кучино,Южная звезда,170454.54545454547
ID 109132462,homeowner,Балашиха,sale,flat,23,3,99.0,14300000.0,, Строителей,3,Салтыковская,Новое Измайлово,144444.44444444444
Этажи Москва,real_estate_agent,Балашиха,sale,flat,17,3,98.26,14400000.0,, Троицкая,3,Ольгино,Новое Павлино,146549.96946875635
Владис,real_estate_agent,Балашиха,sale,flat,17,3,94.9,14500000.0,, Пионерская,33,Железнодорожная,,152792.41306638566
ID 13388958,realtor,Балашиха,sale,flat,17,3,80.4,14500000.0,, Кожедуба,6,Щёлковская,,180348.25870646766
ID 129550,homeowner,Балашиха,sale,flat,17,3,77.6,14500000.0,,,10,Щёлковская,Щитниково Изумрудный,186855.6701030928
ID 73727085,homeowner,Балашиха,sale,flat,17,3,94.9,14500000.0,, Пионерская,33,Железнодорожная,,152792.41306638566
ID 168147,homeowner,Балашиха,sale,flat,17,3,78.0,14500000.0,,проспект Ленина,32г,Салтыковская,Акварели,185897.4358974359
ID 93136409,homeowner,Балашиха,sale,flat,4,3,92.0,14500000.0,, Черняховского,26Б,Салтыковская,Салтыковка Престиж,157608.69565217392
ID 89186802,unknown,Балашиха,sale,flat,23,3,88.1,14500000.0,,Первомайский проезд,1,Салтыковская,28 микрорайон,164585.69807037458
ID 30467412,homeowner,Балашиха,sale,flat,25,3,70.0,14590000.0,, Демин луг,2,Новогиреево,Новое Измайлово,208428.57142857142
ID 114000637,homeowner,Балашиха,sale,flat,25,3,70.0,14590000.0,, Демин луг,2,Новогиреево,Новое Измайлово,208428.57142857142
ID 75303456,homeowner,Балашиха,sale,flat,4,3,92.1,14790000.0,, Черняховского,26Б,Салтыковская,Салтыковка Престиж,160586.31921824106
МИЭЛЬ,real_estate_agent,Балашиха,sale,flat,25,3,70.9,14900000.0,, Реутовская,20,Реутов,Измайловский лес,210155.1480959097
ID 103214725,unknown,Балашиха,sale,flat,11,3,87.6,14900000.0,, Реутовская,14,Реутов,Измайловский лес,170091.32420091325
ID 114330002,homeowner,Балашиха,sale,flat,25,3,89.4,14800000.0,, Демин луг,6/5,Салтыковская,Новое Измайлово,165548.09843400447
ID 66917629,homeowner,Балашиха,sale,flat,18,3,76.0,14900000.0,, Главная,1,Железнодорожная,,196052.63157894736
Этажи Москва,real_estate_agent,Балашиха,sale,flat,17,3,105.0,15000000.0,, Лукино,55а,Щёлковская,20 Парковая,142857.14285714287
Владис,real_estate_agent,Балашиха,sale,flat,18,3,78.0,14950000.0,, Поликахина,2,Железнодорожная,,191666.66666666666
Наталья Зарубицкая,realtor,Балашиха,sale,flat,21,3,83.1,14990000.0,, Граничная,38,Ольгино,,180385.07821901326
ID 47640835,homeowner,Балашиха,sale,flat,16,3,109.7,15200000.0,, Центральная,8,Кучино,,138559.70829535095
ID 102188945,homeowner,Балашиха,sale,flat,25,3,92.7,15100000.0,, Свердлова,54,Щёлковская,Свердлова 54,162891.046386192
ID 111983450,homeowner,Балашиха,sale,flat,19,3,87.3,15300000.0,,проспект Ленина,74,Салтыковская,Жемчужина Виктории,175257.7319587629
ID 90691545,homeowner,Балашиха,sale,flat,3,3,94.2,15300000.0,, Черняховского,20,Салтыковская,,162420.3821656051
Наталья Глазкова,realtor,Балашиха,sale,flat,19,3,70.0,15500000.0,,проспект Ленина,32д,Салтыковская,Акварели,221428.57142857142
ID 511995,realtor,Балашиха,sale,flat,19,3,87.0,15500000.0,,проспект Ленина,74,Салтыковская,Жемчужина Виктории,178160.9195402299
ID 121543054,homeowner,Балашиха,sale,flat,18,3,97.2,15500000.0,, Соловьева,4,Ольгино,Леоновский парк,159465.02057613168
ID 89682939,unknown,Балашиха,sale,flat,25,3,81.0,15500000.0,,Заречная ,31,Щёлковская,,191358.02469135803
ID 126013,homeowner,Балашиха,sale,flat,15,3,88.0,15500000.0,, Евстафьева,5,Салтыковская,,176136.36363636365
Мост,real_estate_agent,Балашиха,sale,flat,25,3,80.2,15600000.0,, Реутовская,21,Реутов,Измайловский лес,194513.7157107232
ID 17205225,homeowner,Балашиха,sale,flat,14,3,72.1,15700000.0,,проспект Ленина,32а,Салтыковская,,217753.12066574206
ID 57641042,unknown,Балашиха,sale,flat,25,3,78.9,15750000.0,, Реутовская,26,Реутов,Измайловский лес,199619.77186311784
Этажи Москва,real_estate_agent,Балашиха,sale,flat,14,3,78.0,16000000.0,,бульвар Молодежный,4/5,Щёлковская,Щитниково Янтарный,205128.20512820513
ID 269566,realtor,Балашиха,sale,flat,17,3,106.0,16000000.0,,Заречная ,32,Щёлковская,,150943.3962264151
ID 86585525,homeowner,Балашиха,sale,flat,17,3,80.0,15900000.0,, Флерова,2А,Салтыковская,,198750.0
ID 107769977,homeowner,Балашиха,sale,flat,23,3,95.0,16000000.0,,Первомайский проезд,1,Салтыковская,28 микрорайон,168421.05263157896
РК,real_estate_agent,Балашиха,sale,flat,18,3,75.0,16300000.0,,проезд Мирской,7,Новокосино,,217333.33333333334
ID 10658465,realtor,Балашиха,sale,flat,3,3,231.6,16200000.0,,шоссе Леоновское,6к8,Кучино,,69948.1865284974
ID 111737252,homeowner,Балашиха,sale,flat,17,3,92.7,16300000.0,,проспект Ленина,74,Салтыковская,Жемчужина Виктории,175836.03020496224
ID 118556019,homeowner,Балашиха,sale,flat,9,3,65.6,16200000.0,,проспект Ленина,32б,Салтыковская,Акварели,246951.21951219515
Владис Новый Город,real_estate_agent,Балашиха,sale,flat,3,3,82.7,16500000.0,, Керамическая,18,Ольгино,,199516.32406287786
ID 461559,realtor,Балашиха,sale,flat,19,3,70.9,16500000.0,, Ляхова,5,Ольгино,,232722.143864598
ID 41835833,homeowner,Балашиха,sale,flat,4,3,108.0,16500000.0,мкр. Салтыковка, Черняховского,26,,Салтыковка Престиж,152777.77777777778
ID 73665884,homeowner,Балашиха,sale,flat,13,3,104.0,16500000.0,,Заречная ,25,Салтыковская,,158653.84615384616
ID 17842216,homeowner,Балашиха,sale,flat,22,3,87.0,16800000.0,,,24,Щёлковская,Микрорайон ,193103.44827586206
Гранд Сервис Недвижимость,real_estate_agent,Балашиха,sale,flat,17,3,87.2,17000000.0,, Кольцевая,18,Щёлковская,Щитниково Янтарный,194954.12844036697
ID 76170033,homeowner,Балашиха,sale,flat,13,3,85.0,16950000.0,, Лесные Поляны,5,Кучино,Лесные поляны,199411.76470588235
ГОРОД НЕДВИЖИМОСТИ,real_estate_agent,Балашиха,sale,flat,12,3,91.4,17100000.0,, Демин луг,4,Салтыковская,Новое Измайлово,187089.715536105
ID 13032622,homeowner,Балашиха,sale,flat,25,3,72.1,17500000.0,, Реутовская,12,Реутов,Измайловский лес,242718.44660194177
ID 92035550,homeowner,Балашиха,sale,flat,25,3,95.0,17500000.0,, Строителей,1,Реутов,Новое Измайлово,184210.52631578947
ID 341812,realtor,Балашиха,sale,flat,9,3,90.2,17700000.0,, Колхозная,12к3,Железнодорожная,,196230.59866962305
ID 21298321,homeowner,Балашиха,sale,flat,17,3,92.8,17700000.0,, Пионерская,33,Железнодорожная,,190732.75862068965
ID 11368938,homeowner,Балашиха,sale,flat,6,3,106.6,17600000.0,,Школьная ,7к4,Салтыковская,Усадьба Новая Салтыковка,165103.1894934334
ID 569,realtor,Балашиха,sale,flat,9,3,95.2,17990000.0,, Главная,11,Железнодорожная,,188970.58823529413
ID 379251,realtor,Балашиха,sale,flat,25,3,90.0,17950000.0,, Некрасова,13А,Кучино,Новое Измайлово-2,199444.44444444444
ID 12526262,realtor,Балашиха,sale,flat,4,3,100.0,17900000.0,, Черняховского,26,Салтыковская,Салтыковка Престиж,179000.0
Анна Сёмина,realtor,Балашиха,sale,flat,17,3,88.0,17900000.0,,,35,Щёлковская,,203409.0909090909
ID 55627843,homeowner,Балашиха,sale,flat,12,3,88.5,18000000.0,,проспект Ленина,32а,Салтыковская,,203389.83050847458
ID 69477449,homeowner,Балашиха,sale,flat,17,3,96.2,18000000.0,,,51А,Никольское,,187110.1871101871
ID 50936236,homeowner,Балашиха,sale,flat,17,3,80.0,18000000.0,мкр. Новое Павлино,шоссе Косинское,10,,Новоград Павлино,225000.0
Город,real_estate_agent,Балашиха,sale,flat,12,3,115.0,18950000.0,мкр. Железнодорожный, Юбилейная,4к5,,,164782.60869565216
ID 154790,real_estate_agent,Балашиха,sale,flat,17,3,70.0,19000000.0,,проспект Ленина,32б,Салтыковская,Акварели,271428.5714285714
ID 110103669,homeowner,Балашиха,sale,flat,22,3,93.5,19999999.0,,,,Железнодорожная,,213903.73262032086
ID 13721,realtor,Балашиха,sale,flat,6,3,97.1,20800000.0,,Школьная ,7к4,Салтыковская,Усадьба Новая Салтыковка,214212.1524201854
ID 77564609,homeowner,Балашиха,sale,flat,14,3,93.0,21500000.0,Балашиха,проспект Ленина,32а,,,231182.79569892472
ID 6512914,homeowner,Балашиха,sale,flat,6,3,122.8,25000000.0,,Школьная ,7к3,Салтыковская,Усадьба Новая Салтыковка,203583.06188925082
ID 100164044,homeowner,Балашиха,sale,flat,12,3,130.0,26000000.0,, Пролетарская,7,Железнодорожная,,200000.0
ID 12557619,realtor,Балашиха,sale,flat,9,3,103.0,27000000.0,, Пролетарская,7,Железнодорожная,,262135.9223300971
ID 12872896,homeowner,Балашиха,sale,flat,17,3,100.0,27200000.0,Балашиха,проспект Ленина,32в,,Акварели,272000.0
ID 121986606,homeowner,Балашиха,sale,flat,5,3,56.8,7500000.0,, Калинина,1,Железнодорожная,,132042.25352112675
ID 30506276,homeowner,Балашиха,sale,flat,4,3,62.4,7900000.0,, Карла Маркса,14,Салтыковская,,126602.56410256411
ID 117183365,homeowner,Балашиха,sale,flat,10,3,70.0,8500000.0,, Молодежная,16,Железнодорожная,,121428.57142857143
ID 19251229,realtor,Балашиха,sale,flat,5,3,65.0,9500000.0,, Молодежная,10,Железнодорожная,,146153.84615384616
ID 106294526,homeowner,Балашиха,sale,flat,9,3,60.8,9720000.0,, Свердлова,23,Салтыковская,,159868.42105263157
ID 122988271,homeowner,Балашиха,sale,flat,22,3,72.43,9950000.0,,,к6,Некрасовка,Новоград Павлино,137374.01629159186
ID 111102686,homeowner,Балашиха,sale,flat,22,3,67.1,10600000.0,,,12,Щёлковская,Щитниково Изумрудный,157973.174366617
ID 102626579,homeowner,Балашиха,sale,flat,14,3,75.2,10800000.0,,Комсомольская ,28,Салтыковская,,143617.02127659574
ID 123422262,homeowner,Балашиха,sale,flat,10,3,76.1,10800000.0,,,11,Щёлковская,,141918.5282522996
ID 52474411,homeowner,Балашиха,sale,flat,19,3,75.0,11100000.0,,Балашихинское шоссе,18,Щёлковская,Лесной городок,148000.0
ID 116621443,homeowner,Балашиха,sale,flat,4,3,75.0,11300000.0,, Орджоникидзе,8,Салтыковская,,150666.66666666666
ID 86364216,homeowner,Балашиха,sale,flat,21,3,66.7,11900000.0,,проспект Героев,16,Железнодорожная,,178410.79460269865
ID 121837512,homeowner,Балашиха,sale,flat,17,3,72.7,12000000.0,, Соловьева,4,Ольгино,Леоновский парк,165061.89821182942
Мария Чиркинова,realtor,Балашиха,sale,flat,17,3,70.0,13100000.0,, Безымянная,14,Железнодорожная,,187142.85714285713
ID 122199484,homeowner,Балашиха,sale,flat,17,3,76.1,13000000.0,, Летная,1,Щёлковская,,170827.85808147176
ID 105361956,homeowner,Балашиха,sale,flat,14,3,82.5,13500000.0,,,39А,Ольгино,Павлино 39А,163636.36363636365
ID 105831159,homeowner,Балашиха,sale,flat,24,3,76.6,13500000.0,,проспект Героев,7,Железнодорожная,,176240.2088772846
ID 92347674,homeowner,Балашиха,sale,flat,4,3,91.8,14999000.0,, Почтовая,4,Кучино,,163387.79956427016
ID 49048114,homeowner,Балашиха,sale,flat,25,3,83.9,17000000.0,, Демин луг,6/5,Салтыковская,Новое Измайлово,202622.16924910605
ID 123335499,homeowner,Балашиха,sale,flat,6,3,102.0,18000000.0,,Школьная ,7к4,Салтыковская,Усадьба Новая Салтыковка,176470.58823529413
ID 23610266,homeowner,Балашиха,sale,flat,15,3,88.6,17950000.0,, Евстафьева,5,Салтыковская,,202595.9367945824
ID 90989532,homeowner,Балашиха,sale,flat,23,3,92.2,18165000.0,мкр. 28-й,Первомайский проезд,1,,28 микрорайон,197017.3535791757
ID 121476959,homeowner,Балашиха,sale,flat,25,3,130.2,21900000.0,,Трубецкая ,102,Щёлковская,Балашиха-парк,168202.76497695854
ID 52952316,unknown,Балашиха,sale,flat,17,2,51.2,7300000.0,, Свердлова,59,Щёлковская,,142578.125
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,38.1,6398133.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,167930.0
ID 269655,realtor,Подольск,sale,flat,14,1,39.0,5850000.0,, Академика Доллежаля,22,Подольск,,150000.0
Астория,real_estate_agent,Подольск,sale,flat,5,1,13.8,2700000.0,, Заводская,14,Подольск,,195652.17391304346
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,40.15,6728337.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,167580.0
CENTURY21 Союз,real_estate_agent,Подольск,sale,flat,5,1,31.3,4650000.0,,Плещеевская ,56,Силикатная,,148562.3003194888
ГОРОБМЕН,real_estate_agent,Подольск,sale,flat,14,1,38.4,6700000.0,,Тепличная ,12,Силикатная,,174479.1666666667
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,37.44,6322493.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,168870.00534188034
ID 7296683,realtor,Подольск,sale,flat,5,1,33.0,4200000.0,, Садовая,5,Подольск,,127272.72727272728
ID 12937094,unknown,Подольск,sale,flat,17,1,38.2,5200000.0,, 43-й Армии,15,Подольск,Подольские просторы,136125.65445026176
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,43.34,7192273.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,165950.0
ID 18094890,homeowner,Подольск,sale,flat,5,1,30.0,4550000.0,, Садовая,22,Подольск,,151666.66666666666
ID 112941634,homeowner,Подольск,sale,flat,4,1,25.0,4100000.0,, Большая Серпуховская,38/2,Подольск,,164000.0
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,45.83,7277804.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,158800.0
ID 79190597,homeowner,Подольск,sale,flat,21,1,40.0,9000000.0,,проезд Тарутинский,1,Подольск,Бородино,225000.0
Александр Воронин,realtor,Подольск,sale,flat,18,1,40.0,5500000.0,,Юбилейная ,1к2,Подольск,,137500.0
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,42.04,6731024.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,160109.99048525214
Лариса Мелентьева,realtor,Подольск,sale,flat,5,1,31.8,4200000.0,, Батырева,4/3,Подольск,,132075.4716981132
Наталья Ворожейкина,realtor,Подольск,sale,flat,9,1,34.0,5100000.0,,Красногвардейский бульвар,37,Подольск,,150000.0
РАЗВИТИЕ,developer,Подольск,sale,flat,22,1,52.97,8416933.0,, Садовая,3к1,Силикатная,Арт-квартал Онегин,158900.0
ФРИДОМ,real_estate_agent,Подольск,sale,flat,5,1,31.0,4570000.0,, Кирова,59,Подольск,,147419.35483870967
САМОЛЕТ ПЛЮС,real_estate_agent,Подольск,sale,flat,19,1,36.8,5500000.0,, Генерала Варенникова,2,Подольск,,149456.52173913043
,,Подольск,sale,flat,17,1,49.16,7619800.0,, Советская,18к1,Подольск,Мессиер 18,155000.0
ID 12292275,unknown,Подольск,sale,flat,17,1,38.4,5900000.0,, 43-й Армии,17а,Подольск,,153645.83333333334
Самолет Плюс,real_estate_agent,Подольск,sale,flat,17,1,37.6,6000000.0,,бульвар 65-летия Победы,5к1,Подольск,,159574.46808510637
,,Подольск,sale,flat,17,1,49.98,8056735.0,, Советская,18к2,Подольск,Мессиер 18,161199.17967186877
